band,start,end,cabrillo
2200M,135.7,137.8,khz
630M,472,479,khz
160M,1810,2000,khz
80M,3500,3800,khz
60M,5351.5,5366.5,khz
40M,7000,7200,khz
30M,10100,10150,khz
20M,14000,14350,khz
17M,18068,18168,khz
15M,21000,21450,khz
12M,24890,24990,khz
10M,28000,29700,khz
6M,50000,54000,50
4M,70000,70500,70
2M,144000,146000,144
70cm,430000,440000,432
23cm,1240000,1300000,1.2G
13cm,2300000,2450000,2.3G
9cm,3400000,3475000,3.4G
5Ghz,5650000,5850000,5.7G
10Ghz,10000000,10500000,10G
24Ghz,24000000,24250000,24G
47Ghz,47000000,47200000,47G
76Ghz,75500000,81500000,75G
122Ghz,122250000,123000000,122G
134Ghz,134000000,141000000,134G
241Ghz,241000000,250000000,241G
